"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Type of Role","Type of Duty","Percentage of this ethnic group in this year in this role in this area (excluding where ethnicity is not known)","Total number of this ethnic group in this year in this role in this area"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 273","2019","Year","Warwickshire","Firefighters","All","N/A","78"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 274","2019","Year","West Midlands","Firefighters","All","N/A","25"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 275","2019","Year","West Sussex","Firefighters","All","N/A","94"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 276","2019","Year","West Yorkshire","Firefighters","All","N/A","7"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2019","Year","England","Firefighters","All","N/A","35023"
"Fire and rescue service workforce ","White ","ONS 2001 5 + 1","2019","Year","England","Firefighters","All","95.7","30285"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2019","Year","England","Firefighters","All","1.8","577"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2019","Year","England","Firefighters","All","0.7","219"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2019","Year","England","Firefighters","All","1.3","427"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2019","Year","England","Firefighters","All","0.5","145"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2019","Year","England","Firefighters","All","N/A","3370"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2019","Year","England","Fire control","All","N/A","1134"
"Fire and rescue service workforce ","White ","ONS 2001 5 + 1","2019","Year","England","Fire control","All","97.5","1034"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2019","Year","England","Fire control","All","1.3","14"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2019","Year","England","Fire control","All","0.4","4"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2019","Year","England","Fire control","All","0.8","8"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2019","Year","England","Fire control","All","0.1","1"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2019","Year","England","Fire control","All","N/A","73"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2019","Year","England","Support Staff","All","N/A","8028"
"Fire and rescue service workforce ","White ","ONS 2001 5 + 1","2019","Year","England","Support Staff","All","92","6693"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2019","Year","England","Support Staff","All","1.3","93"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2019","Year","England","Support Staff","All","2.8","207"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2019","Year","England","Support Staff","All","3","221"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2019","Year","England","Support Staff","All","0.9","64"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2019","Year","England","Support Staff","All","N/A","750"
"Fire and rescue service workforce ","All","ONS 2001 5 + 1","2019","Year","England","All Staff","All","N/A","44185"
"Fire and rescue service workforce ","White ","ONS 2001 5 + 1","2019","Year","England","All Staff","All","95","38012"
"Fire and rescue service workforce ","Mixed","ONS 2001 5 + 1","2019","Year","England","All Staff","All","1.7","684"
"Fire and rescue service workforce ","Asian","ONS 2001 5 + 1","2019","Year","England","All Staff","All","1.1","430"
"Fire and rescue service workforce ","Black","ONS 2001 5 + 1","2019","Year","England","All Staff","All","1.6","656"
"Fire and rescue service workforce ","Other inc Chinese","ONS 2001 5 + 1","2019","Year","England","All Staff","All","0.5","210"
"Fire and rescue service workforce ","Unknown","ONS 2001 5 + 1","2019","Year","England","All Staff","All","N/A","4193"
